anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,HIDALGO,10 A 14 A«?OS,HOMBRES,236,0,69,575,0,34,3,17,62,5,149,Hidalgo
2024,HIDALGO,10 A 14 A«?OS,MUJERES,478,0,141,831,2,25,4,15,13,2,151,Hidalgo
2024,HIDALGO,15 A 19 A«?OS,HOMBRES,102,0,71,290,0,24,6,9,14,8,56,Hidalgo
2024,HIDALGO,15 A 19 A«?OS,MUJERES,283,0,487,916,1,37,23,5,4,11,65,Hidalgo
2024,HIDALGO,20 A 29 A«?OS,HOMBRES,328,1,90,489,2,27,4,4,0,33,0,Hidalgo
2024,HIDALGO,20 A 29 A«?OS,MUJERES,1026,0,1050,2216,7,95,21,1,0,16,0,Hidalgo
2024,HIDALGO,30 A 49 A«?OS,HOMBRES,413,1,95,606,8,25,9,0,0,55,0,Hidalgo
2024,HIDALGO,30 A 49 A«?OS,MUJERES,1499,1,797,2479,38,45,34,0,1,64,0,Hidalgo
2024,HIDALGO,5 A 9 A«?OS,HOMBRES,63,0,10,430,2,20,3,77,105,0,150,Hidalgo
2024,HIDALGO,5 A 9 A«?OS,MUJERES,83,0,25,253,0,17,4,10,28,2,84,Hidalgo
2024,HIDALGO,50 A 59 A«?OS,HOMBRES,114,7,35,191,6,9,1,0,0,19,0,Hidalgo
2024,HIDALGO,50 A 59 A«?OS,MUJERES,579,2,245,878,9,7,10,0,0,26,0,Hidalgo
2024,HIDALGO,60 A«?OS Y M«ÅS,HOMBRES,186,60,99,379,6,10,2,0,0,16,0,Hidalgo
2024,HIDALGO,60 A«?OS Y M«ÅS,MUJERES,626,94,300,1058,4,6,5,0,0,23,0,Hidalgo
2024,JALISCO,10 A 14 A«?OS,HOMBRES,220,0,76,919,1,112,4,121,155,3,227,Jalisco
2024,JALISCO,10 A 14 A«?OS,MUJERES,443,0,213,945,0,62,22,30,47,4,124,Jalisco
2024,JALISCO,15 A 19 A«?OS,HOMBRES,88,0,92,388,4,33,5,51,57,11,47,Jalisco
2024,JALISCO,15 A 19 A«?OS,MUJERES,282,0,305,724,3,30,11,7,43,11,32,Jalisco
2024,JALISCO,20 A 29 A«?OS,HOMBRES,400,0,167,680,5,32,8,19,3,46,0,Jalisco
2024,JALISCO,20 A 29 A«?OS,MUJERES,1045,0,540,1684,8,45,24,4,3,15,0,Jalisco
2024,JALISCO,30 A 49 A«?OS,HOMBRES,664,3,270,1067,16,35,7,2,4,66,0,Jalisco
2024,JALISCO,30 A 49 A«?OS,MUJERES,1952,6,910,3062,50,42,29,1,8,64,0,Jalisco
2024,JALISCO,5 A 9 A«?OS,HOMBRES,81,0,7,540,0,46,9,83,136,5,173,Jalisco
2024,JALISCO,5 A 9 A«?OS,MUJERES,105,0,11,322,0,24,3,25,51,4,99,Jalisco
2024,JALISCO,50 A 59 A«?OS,HOMBRES,316,6,137,550,32,14,6,0,1,38,0,Jalisco
2024,JALISCO,50 A 59 A«?OS,MUJERES,862,8,511,1496,45,12,15,0,0,43,0,Jalisco
2024,JALISCO,60 A«?OS Y M«ÅS,HOMBRES,435,117,233,839,17,5,3,0,0,29,0,Jalisco
2024,JALISCO,60 A«?OS Y M«ÅS,MUJERES,1037,134,818,2053,23,5,10,0,0,26,0,Jalisco
2024,MICHOAC«ÅN DE OCAMPO,10 A 14 A«?OS,HOMBRES,383,0,100,1169,2,88,18,87,121,4,366,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,10 A 14 A«?OS,MUJERES,763,0,274,1530,4,70,31,30,31,10,317,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,15 A 19 A«?OS,HOMBRES,192,0,134,535,2,42,5,37,17,22,84,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,15 A 19 A«?OS,MUJERES,468,0,430,1080,11,40,20,16,11,8,76,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,20 A 29 A«?OS,HOMBRES,799,2,170,1105,7,33,26,11,2,55,0,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,20 A 29 A«?OS,MUJERES,2064,1,651,2888,40,35,54,12,1,30,0,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,30 A 49 A«?OS,HOMBRES,1047,7,207,1480,23,38,27,7,0,124,0,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,30 A 49 A«?OS,MUJERES,3967,3,1050,5299,68,41,63,5,0,102,0,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,5 A 9 A«?OS,HOMBRES,166,0,16,1199,0,122,10,181,243,0,461,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,5 A 9 A«?OS,MUJERES,194,0,20,714,0,83,18,72,60,3,264,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,50 A 59 A«?OS,HOMBRES,438,6,74,589,12,14,7,0,0,38,0,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,50 A 59 A«?OS,MUJERES,1518,7,444,2068,29,16,18,0,0,36,0,Michoac«≠n
2024,MICHOAC«ÅN DE OCAMPO,60 A«?OS Y M«ÅS,HOMBRES,570,85,114,825,19,6,5,0,2,24,0,Michoac«≠n
